Collage name ,location,tuition,number of students,Fashion design ranking,Graphic design ranking,Interior design ranking,total ranking,image,ual
Parsons School of Design at The New School,USA,"46,960 USD/year","5,854",#1 ,#1,#1,#1,,https://www.newschool.edu/parsons/
Central Saint Martins Collage of Art and Design,UK,"15,180 GBP/year","1,420",#2,#6,none,#2,,https://www.arts.ac.uk/colleges/central-saint-martins
School of Visual Arts,USA,"26,800 USD/year","4,201",none,#7,#8,#3,,https://sva.edu/
Rhode Island School of Design (RISD),USA,"50,960 USD/year","2,481",#5 ,#2,#4,#4,,https://www.risd.edu/
Royal College of Art,UK,"20,000 USD/year","1,420",#3 ,#3,#2,#5,,https://www.rca.ac.uk/
University of the Arts London,UK,"9,000 GBP/year","18,000",#4 ,#5,#3,#6,,https://www.arts.ac.uk/colleges/central-saint-martins
Pratt Institute,USA,"54,440 USD/year","4,556",#5 ,#8,#4,#7,,https://www.pratt.edu/
London Collage of Fashion,UK,"15,189 GBP/year","5,000",none,none,#18,#8,,https://www.arts.ac.uk/colleges/london-college-of-fashion
Istituto Marangoni,Italy,"22,900 EUR/year","4,000",none,none,none,#9,,https://www.istitutomarangoni.com/en/
ESMOD,Finland,"86,50 EUR/year","62,000",#6,none,none,#10,,http://www.esmod.com/en